Year,Month,Day,1hour,12hour,24hour,truth
2024,141,9,170399.8125,160876.8125,158352.890625,174507.2
2024,141,10,166879.96875,157120.59375,155580.34375,172133.39999999997
2024,141,11,161231.703125,154230.28125,153421.125,167063.6
2024,141,12,156874.28125,151776.0625,151476.09375,161769.2
2024,141,13,156077.0,149411.578125,149579.875,159827.5
2024,141,14,156360.5625,147608.078125,147691.1875,159610.2
2024,141,15,156957.78125,146684.34375,145932.78125,159658.40000000002
2024,141,16,157368.78125,146283.25,144996.875,159891.9
2024,141,17,156270.875,145392.125,144533.140625,159136.5
2024,141,18,153984.65625,144404.0625,143554.859375,157431.3
2024,141,19,151566.40625,142946.140625,142405.40625,155622.59999999998
2024,141,20,150386.09375,141292.875,141253.0625,154579.2
2024,141,21,148982.859375,140235.1875,140417.328125,152701.40000000002
2024,141,22,149364.890625,139872.375,140460.21875,151618.3
2024,141,23,150980.03125,140375.9375,141596.296875,151574.09999999998
2024,142,0,152523.703125,142276.5,144099.96875,151680.6
2024,142,1,155068.390625,145480.125,147760.09375,152679.9
2024,142,2,158356.859375,149104.1875,151706.296875,154837.90000000002
2024,142,3,162341.328125,153406.296875,156080.53125,158093.5
2024,142,4,167276.0625,157234.390625,160116.625,163014.7
2024,142,5,170795.421875,160040.71875,161768.1875,167690.90000000002
2024,142,6,172986.703125,161559.21875,162625.4375,171318.8
2024,142,7,172878.46875,162065.53125,162128.5625,172946.5
2024,142,8,171662.4375,161377.6875,160369.25,173411.0
2024,142,9,169672.6875,159464.703125,158283.9375,173077.3
2024,142,10,167751.34375,156084.25,155448.3125,172462.5
2024,142,11,164012.015625,152349.296875,152648.421875,169613.0
2024,142,12,163988.0,149605.53125,150666.421875,168470.40000000002
2024,142,13,162575.46875,147987.25,148697.65625,167131.7
2024,142,14,161311.625,147461.453125,146489.96875,165607.9
2024,142,15,160136.859375,147620.671875,144863.5,164556.7
2024,142,16,158056.859375,147259.671875,143635.84375,162725.19999999998
2024,142,17,155853.859375,146896.859375,142549.796875,160205.0
2024,142,18,154215.78125,146665.71875,141606.625,157914.2
